ticket,model_name,dev_f1_target_1,heldout_f1_target_1,heldout_accuracy,fixed_fp,fixed_fn,new_fp,new_fn,decision,decision_reason
ticket-1-baseline,tfidf_logreg_baseline,0.7388,0.7492,0.7978,0,0,0,0,adopt_plain_default,reference reproducible within tolerance but non-unique; plain default kept as levers for later tickets
ticket-2-normalization,tfidf_logreg_stripurls,0.7437,0.7536,0.8063,29,13,7,22,adopt_strip_urls,"strips http/https URL tokens; dev F1 improved (0.7388 -> 0.7437) and the gain holds up on heldout, robust to URL-shortener noise"
ticket-4-decision,tfidf_logreg_stripurls_c3_tuned,0.758,0.7653,0.8011,2,43,53,0,adopt_c3_tuned_threshold,C=3 (step-2 sweep) + threshold=0.45 (step-1 sweep) chosen on dev (dev F1=0.7580 vs strip_urls baseline dev F1=0.7437); improvement holds on heldout
