group,label,tfidf_params,logreg_params,n_iter,converged,dev_f1_target_1,heldout_f1_target_1,heldout_gap_vs_reference,within_tolerance
grid,"min_df=3,sublinear_tf=False,ngram=(1, 1),C=2","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",16,True,0.7473,0.7602,0.0028,False
grid,"min_df=3,sublinear_tf=False,ngram=(1, 1),C=4","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",16,True,0.746,0.7611,0.0036,False
grid,"min_df=3,sublinear_tf=False,ngram=(1, 1),C=10","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",54,True,0.7305,0.7591,0.0016,False
grid,"min_df=3,sublinear_tf=False,ngram=(1, 2),C=1","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",16,True,0.7399,0.7475,-0.0099,False
grid,"min_df=3,sublinear_tf=False,ngram=(1, 2),C=2","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",19,True,0.7428,0.7549,-0.0025,False
grid,"min_df=3,sublinear_tf=False,ngram=(1, 2),C=4","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",19,True,0.7494,0.7571,-0.0004,True
grid,"min_df=3,sublinear_tf=False,ngram=(1, 2),C=10","{'min_df': 3, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",21,True,0.7389,0.7474,-0.01,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 1),C=1","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",15,True,0.7444,0.7529,-0.0045,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 1),C=2","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",15,True,0.7549,0.7573,-0.0001,True
grid,"min_df=5,sublinear_tf=True,ngram=(1, 1),C=4","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",16,True,0.752,0.759,0.0016,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 1),C=10","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",25,True,0.7312,0.7484,-0.009,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 2),C=1","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",14,True,0.7417,0.7399,-0.0175,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 2),C=2","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",17,True,0.7461,0.7484,-0.009,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 2),C=4","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",16,True,0.7443,0.7462,-0.0112,False
grid,"min_df=5,sublinear_tf=True,ngram=(1, 2),C=10","{'min_df': 5, 'sublinear_tf': True, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",21,True,0.7341,0.7399,-0.0176,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 1),C=1","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",14,True,0.745,0.7512,-0.0062,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 1),C=2","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",13,True,0.7514,0.7557,-0.0018,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 1),C=4","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",18,True,0.7508,0.7548,-0.0026,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 1),C=10","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 1)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",25,True,0.7312,0.7464,-0.011,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 2),C=1","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 1}",14,True,0.7402,0.7393,-0.0181,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 2),C=2","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 2}",15,True,0.7459,0.7404,-0.017,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 2),C=4","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 4}",17,True,0.7508,0.7482,-0.0092,False
grid,"min_df=5,sublinear_tf=False,ngram=(1, 2),C=10","{'min_df': 5, 'sublinear_tf': False, 'ngram_range': (1, 2)}","{'random_state': 3102, 'max_iter': 1000, 'C': 10}",22,True,0.7347,0.741,-0.0164,False
