sklearn_version,numpy_version,scipy_version,dev_f1_target_1,heldout_f1_target_1,reference_f1,heldout_gap_vs_reference,within_tolerance,note
1.3.2,1.26.4,1.17.1,0.7378,0.7486,0.7574,-0.0088,False,"conda-forge topica_sk1_3 env; MKL build crashed on this CPU (AVX512 fused off on i9-14900HX), reinstalled with libblas=*openblas"
1.5.2,2.4.6,1.17.1,0.7388,0.7492,0.7574,-0.0082,False,"conda-forge topica_sk1_5 env, openblas"
1.7.2,2.4.6,1.17.1,0.7388,0.7492,0.7574,-0.0082,False,"conda-forge topica_sk1_7 env, openblas"
1.9.0,2.4.6,1.17.1,0.7388,0.7492,0.7574,-0.0082,False,project's pinned topica env (requirements.txt); current baseline
